"filename", "language", "GDResource", "GDScene", "Markdown", "gdshader", "GDScript", "Properties", "JSON", "XML", "comment", "blank", "total"
"e:\Projects\ArkPvZ\addons\script-ide\tabbar\multiline_tab_container.gd", "GDScript", 0, 0, 0, 0, 302, 0, 0, 0, 11, 118, 431
"e:\Projects\ArkPvZ\addons\script-ide\tabbar\multiline_tab_container.tscn", "GDScene", 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"e:\Projects\ArkPvZ\addons\sprite_painter\LICENSE.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 10
"e:\Projects\ArkPvZ\addons\sprite_painter\editor_icon_button.gd", "GDScript", 0, 0, 0, 0, 9, 0, 0, 0, 2, 6, 17
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\circle_shape_2d.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\circle_shape_2d.svg.import", "GDResource", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\curve_texture.tres", "GDResource", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\diags.png.import", "GDResource", 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\diamond_shape_2d.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 1, 49
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\diamond_shape_2d.svg.import", "GDResource", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\distraction_free.tres", "GDResource", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\h_size.tres", "GDResource", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\hex_shape_2d.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 1, 42
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\hex_shape_2d.svg.import", "GDResource", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\mesh_texture.tres", "GDResource", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\rect_shape_2d.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\rect_shape_2d.svg.import", "GDResource", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\rotate_left.tres", "GDResource", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\rotate_right.tres", "GDResource", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\tool_scale.tres", "GDResource", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\triangle_shape_2d.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 1, 41
"e:\Projects\ArkPvZ\addons\sprite_painter\graphics\triangle_shape_2d.svg.import", "GDResource", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"e:\Projects\ArkPvZ\addons\sprite_painter\image_scripts\Adjust HSV.gd", "GDScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 39
"e:\Projects\ArkPvZ\addons\sprite_painter\image_scripts\Channel Curves.gd", "GDScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 6, 53
"e:\Projects\ArkPvZ\addons\sprite_painter\image_scripts\Constrain to Palette.gd", "GDScript", 0, 0, 0, 0, 51, 0, 0, 0, 5, 13, 69
"e:\Projects\ArkPvZ\addons\sprite_painter\image_scripts\Outline.gd", "GDScript", 0, 0, 0, 0, 73, 0, 0, 0, 2, 13, 88
"e:\Projects\ArkPvZ\addons\sprite_painter\image_scripts\Silhouette Normal Map (WIP).gd", "GDScript", 0, 0, 0, 0, 117, 0, 0, 0, 1, 23, 141
"e:\Projects\ArkPvZ\addons\sprite_painter\plugin.cfg", "Properties", 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"e:\Projects\ArkPvZ\addons\sprite_painter\plugin.gd", "GDScript", 0, 0, 0, 0, 129, 0, 0, 0, 5, 48, 182
"e:\Projects\ArkPvZ\addons\sprite_painter\shaders\gradient.tres", "GDResource", 51, 0, 0, 0, 0, 0, 0, 0, 0, 10, 61
"e:\Projects\ArkPvZ\addons\sprite_painter\shaders\line.tres", "GDResource", 30, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"e:\Projects\ArkPvZ\addons\sprite_painter\shaders\shape.tres", "GDResource", 109, 0, 0, 0, 0, 0, 0, 0, 0, 19, 128
"e:\Projects\ArkPvZ\addons\sprite_painter\src\editing_tool.gd", "GDScript", 0, 0, 0, 0, 283, 0, 0, 0, 1, 86, 370
"e:\Projects\ArkPvZ\addons\sprite_painter\src\editing_tools\tool_brush.gd", "GDScript", 0, 0, 0, 0, 202, 0, 0, 0, 15, 48, 265
"e:\Projects\ArkPvZ\addons\sprite_painter\src\editing_tools\tool_brush_clone.gd", "GDScript", 0, 0, 0, 0, 60, 0, 0, 0, 1, 21, 82
"e:\Projects\ArkPvZ\addons\sprite_painter\src\editing_tools\tool_brush_normalmap.gd", "GDScript", 0, 0, 0, 0, 58, 0, 0, 0, 0, 21, 79
"e:\Projects\ArkPvZ\addons\sprite_painter\src\editing_tools\tool_brush_shading.gd", "GDScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 11, 47
"e:\Projects\ArkPvZ\addons\sprite_painter\src\editing_tools\tool_bucket.gd", "GDScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 19, 86
"e:\Projects\ArkPvZ\addons\sprite_painter\src\editing_tools\tool_gradient.gd", "GDScript", 0, 0, 0, 0, 150, 0, 0, 0, 0, 37, 187
"e:\Projects\ArkPvZ\addons\sprite_painter\src\editing_tools\tool_line.gd", "GDScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 11, 50
"e:\Projects\ArkPvZ\addons\sprite_painter\src\editing_tools\tool_pencil.gd", "GDScript", 0, 0, 0, 0, 77, 0, 0, 0, 0, 22, 99
"e:\Projects\ArkPvZ\addons\sprite_painter\src\editing_tools\tool_scripting.gd", "GDScript", 0, 0, 0, 0, 106, 0, 0, 0, 2, 31, 139
"e:\Projects\ArkPvZ\addons\sprite_painter\src\editing_tools\tool_select.gd", "GDScript", 0, 0, 0, 0, 171, 0, 0, 0, 4, 45, 220
"e:\Projects\ArkPvZ\addons\sprite_painter\src\editing_tools\tool_shape.gd", "GDScript", 0, 0, 0, 0, 128, 0, 0, 0, 0, 28, 156
"e:\Projects\ArkPvZ\addons\sprite_painter\src\editing_tools\tool_wand.gd", "GDScript", 0, 0, 0, 0, 63, 0, 0, 0, 0, 11, 74
"e:\Projects\ArkPvZ\addons\sprite_painter\src\fill_tools.gd", "GDScript", 0, 0, 0, 0, 92, 0, 0, 0, 0, 22, 114
"e:\Projects\ArkPvZ\addons\sprite_painter\src\floating\color_picker.gd", "GDScript", 0, 0, 0, 0, 117, 0, 0, 0, 1, 51, 169
"e:\Projects\ArkPvZ\addons\sprite_painter\src\floating\color_picker.tscn", "GDScene", 0, 446, 0, 0, 0, 0, 0, 0, 0, 85, 531
"e:\Projects\ArkPvZ\addons\sprite_painter\src\floating\tool_switcher.gd", "GDScript", 0, 0, 0, 0, 105, 0, 0, 0, 2, 39, 146
"e:\Projects\ArkPvZ\addons\sprite_painter\src\floating\type_context\context_spriteframes.gd", "GDScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 19, 70
"e:\Projects\ArkPvZ\addons\sprite_painter\src\floating\type_context\context_tileset.gd", "GDScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 15, 49
"e:\Projects\ArkPvZ\addons\sprite_painter\src\floating\type_context_settings.gd", "GDScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 26, 86
"e:\Projects\ArkPvZ\addons\sprite_painter\src\floating\type_context_settings.tscn", "GDScene", 0, 144, 0, 0, 0, 0, 0, 0, 0, 29, 173
"e:\Projects\ArkPvZ\addons\sprite_painter\src\image_script.gd", "GDScript", 0, 0, 0, 0, 29, 0, 0, 0, 18, 8, 55
"e:\Projects\ArkPvZ\addons\sprite_painter\src\image_transform_menu.gd", "GDScript", 0, 0, 0, 0, 153, 0, 0, 0, 3, 47, 203
"e:\Projects\ArkPvZ\addons\sprite_painter\src\image_view\image_grid_view.gd", "GDScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 11, 73
"e:\Projects\ArkPvZ\addons\sprite_painter\src\image_view\image_selection_view.gd", "GDScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 15, 40
